 0 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- 28 -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
Scan finished
Configure finished
BNO055 initialisation finished
X:-47 Y:-52 Z:944
X:-40 Y:-50 Z:940
X:-45 Y:-57 Z:948
X:-43 Y:-52 Z:953
X:-41 Y:-53 Z:943
X:-38 Y:-58 Z:951
X:-44 Y:-49 Z:940
X:-41 Y:-53 Z:945
X:-49 Y:-58 Z:937
X:-45 Y:-50 Z:935
X:-46 Y:-57 Z:944
X:-50 Y:-52 Z:946
X:-40 Y:-62 Z:948
X:-46 Y:-56 Z:942
X:-45 Y:-54 Z:945
X:-47 Y:-54 Z:956
X:-42 Y:-50 Z:951
X:-43 Y:-56 Z:944
X:-43 Y:-52 Z:945
X:-46 Y:-59 Z:951
X:-45 Y:-60 Z:940
X:-44 Y:-52 Z:944
X:-47 Y:-58 Z:941
X:-48 Y:-60 Z:947
X:-41 Y:-47 Z:958
X:-36 Y:-58 Z:950
X:-50 Y:-53 Z:946
X:-50 Y:-51 Z:941
X:-37 Y:-55 Z:948
X:-50 Y:-52 Z:958
X:-46 Y:-58 Z:936
X:-48 Y:-59 Z:949
X:-53 Y:-51 Z:949
X:-44 Y:-59 Z:939
X:-48 Y:-56 Z:943
X:-40 Y:-55 Z:945
X:-40 Y:-54 Z:948
X:-51 Y:-55 Z:957
X:-40 Y:-56 Z:935
X:-48 Y:-57 Z:941
X:-36 Y:-47 Z:945
X:-45 Y:-57 Z:943
X:-44 Y:-55 Z:949
X:-44 Y:-53 Z:944
X:-45 Y:-48 Z:947
X:-41 Y:-49 Z:949
X:-47 Y:-55 Z:942
X:-39 Y:-60 Z:943
X:-40 Y:-49 Z:941
X:-40 Y:-57 Z:948
X:-46 Y:-50 Z:944
X:-43 Y:-46 Z:942
X:-42 Y:-59 Z:940
X:-49 Y:-56 Z:956
X:-39 Y:-58 Z:945
X:-39 Y:-51 Z:940
X:-37 Y:-47 Z:940
X:-48 Y:-58 Z:949
X:-41 Y:-56 Z:950
X:-51 Y:-56 Z:944
X:-54 Y:-50 Z:950
X:-34 Y:-51 Z:945
X:-45 Y:-58 Z:930
X:-45 Y:-52 Z:947
X:-45 Y:-55 Z:939
X:-47 Y:-45 Z:934
